content_no,push_type,delivery_scene,source_image,bucket,endpoint,object_key,object_url,access,size_bytes,width,height,sha256,status,note
NOON-1100-04,greeting,GREETING_1100,图片和附件/image 34.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1100-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1100-04/v1.png,private-signed-url,2626725,1254,1254,9bc4401b5003585a6c3f432f69938cceab7301c1f1d28863ff23b11b11fc9a20,UPLOADED_VERIFIED_PRIVATE,
NOON-1130-01,greeting,GREETING_1130,图片和附件/image 66.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1130-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1130-01/v1.png,private-signed-url,2721592,1254,1254,8db669d7754ce5a9b530aef3ec07e9a69dd82acd7bf6245aa6e1517eda56e7a0,UPLOADED_VERIFIED_PRIVATE,
NOON-1130-02,greeting,GREETING_1130,图片和附件/image 46.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1130-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1130-02/v1.png,private-signed-url,2773938,1254,1254,07f6a3fb9c4236d62ae3ec3e12f8e9506970e7dce306ab75b1b4acba1f40fb86,UPLOADED_VERIFIED_PRIVATE,
NOON-1130-03,greeting,GREETING_1130,图片和附件/image 37.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1130-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1130-03/v1.png,private-signed-url,2732729,1254,1254,0e0b9ad348280ade6195b276822070af0f1d5a1fb89858b30a551e390f0e81c6,UPLOADED_VERIFIED_PRIVATE,
NOON-1130-04,greeting,GREETING_1130,图片和附件/image 88.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1130-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1130-04/v1.png,private-signed-url,2776002,1254,1254,13abc6939ba8c1cd6702ee06334e329a3dfc1e052253b660cd122588f5355263,UPLOADED_VERIFIED_PRIVATE,
NOON-1200-01,greeting,GREETING_1200,图片和附件/image 78.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1200-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1200-01/v1.png,private-signed-url,2777257,1254,1254,67b0bc110d6e9d57dc79026c57cceab4a88f6a130da42d450ba1098080dc2aa6,UPLOADED_VERIFIED_PRIVATE,
NOON-1200-02,greeting,GREETING_1200,图片和附件/image 8.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1200-02/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1200-02/v1.png,private-signed-url,2737535,1254,1254,64cb221f4b8c0525d3249655062315901cf4d6c3d37571ca60b3028d72c5dd76,UPLOADED_VERIFIED_PRIVATE,
NOON-1200-03,greeting,GREETING_1200,图片和附件/image 29.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1200-03/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1200-03/v1.png,private-signed-url,2708387,1254,1254,a8de41ae13b20144a3ebe885e7a106879ca3c058c95cf3a8a4de782def396f3e,UPLOADED_VERIFIED_PRIVATE,
NOON-1200-04,greeting,GREETING_1200,图片和附件/image 63.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1200-04/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1200-04/v1.png,private-signed-url,2764024,1254,1254,e616adfad9503dc7b034d012f9fb935a8980bed8f085e714aee65d4df18faf61,UPLOADED_VERIFIED_PRIVATE,
NOON-1230-01,greeting,GREETING_1230,图片和附件/image 84.png,ommo-app-assets-dev,oss-cn-wulanchabu.aliyuncs.com,push-cards/greeting/noon-1230-01/v1.png,https://ommo-app-assets-dev.oss-cn-wulanchabu.aliyuncs.com/push-cards/greeting/noon-1230-01/v1.png,private-signed-url,2753973,1254,1254,a7b2a6764e8fd73d14b4f211ff34b2574767dbb604288831147a87bff6c16dc6,UPLOADED_VERIFIED_PRIVATE,
